crn,sunday,monday,tuesday,wednesday,thursday,friday,saturdaym,start_time,end_time,start_date,end_date,location,meeting_type
56508,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
56508,null,null,T,null,null,null,null,07:00 PM,08:15 PM,02/18/2025,02/18/2025,null,Examination,
56508,null,null,T,null,null,null,null,07:00 PM,08:15 PM,03/25/2025,03/25/2025,null,Examination,
56508,null,null,T,null,null,null,null,07:00 PM,08:15 PM,04/29/2025,04/29/2025,null,Examination,
10001,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
10001,null,null,T,null,null,null,null,07:00 PM,08:15 PM,02/18/2025,02/18/2025,null,Examination,
10001,null,null,T,null,null,null,null,07:00 PM,08:15 PM,03/25/2025,03/25/2025,null,Examination,
10001,null,null,T,null,null,null,null,07:00 PM,08:15 PM,04/29/2025,04/29/2025,null,Examination,
14103,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
47045,null,null,null,null,null,null,null,null,null,01/13/2025,05/06/2025,ONLINE,Lecture,
10003,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 102,Lecture,
10003,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
10003,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
10003,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
27382,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 102,Lecture,
27382,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
27382,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
27382,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
34562,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 102,Lecture,
34562,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
34562,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
34562,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
10004,null,null,T,null,R,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10004,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
10004,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
10004,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
10005,null,null,T,null,R,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10005,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
10005,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
10005,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
10006,null,null,T,null,R,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10006,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
10006,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
10006,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
24413,null,null,T,null,R,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
24413,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
24413,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
24413,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
10007,null,null,T,null,R,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
10007,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
10007,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
10007,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
34563,null,M,null,W,null,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 161,Lecture,
34563,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
34563,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
34563,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
34564,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 161,Lecture,
34564,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
34564,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
34564,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
34565,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
34565,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
34565,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
34565,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
34566,null,M,null,W,null,null,null,12:45 PM,02:00 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
34566,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
34566,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
34566,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
50396,null,M,null,W,null,null,null,02:20 PM,03:35 PM,01/13/2025,05/06/2025,WCBA 161,Lecture,
50396,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
50396,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
50396,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
52754,null,M,null,W,null,null,null,08:00 AM,09:15 AM,01/13/2025,05/06/2025,WCBA 111,Lecture,
52754,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
52754,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
52754,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
54438,null,M,null,W,null,null,null,09:35 AM,10:50 AM,01/13/2025,05/06/2025,WCBA 111,Lecture,
54438,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
54438,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
54438,null,null,T,null,null,null,null,07:15 PM,09:15 PM,04/22/2025,04/22/2025,null,Examination,
54847,null,M,null,W,null,null,null,11:10 AM,12:25 PM,01/13/2025,05/06/2025,WCBA 111,Lecture,
54847,null,null,T,null,null,null,null,07:15 PM,09:15 PM,02/18/2025,02/18/2025,null,Examination,
54847,null,null,T,null,null,null,null,07:15 PM,09:15 PM,03/25/2025,03/25/2025,null,Examination,
